,,,,1f1f,21oo,3zwv,7144,fkih,j2nn,mjlk,ofjk,orar,rbzz,toba
99,140,1.65,0.5,0,0,0,0,0,0,0,0,0,0,0
99,140,1.65,0.55,0,0,0,0,0,0,0,0,0,0,0
99,140,1.65,0.6,0,0,0,0,0,0,0,0,0,0,0
99,140,1.65,0.65,0,0,0,0,0,0,0,0,0,0,0
99,140,1.65,0.7,0,0,0,0,0,0,0,0,0,0,0
99,140,1.65,0.75,0,0,0,0,0,0,0,0,0,0,0
99,140,1.65,0.8,0,0,0,0,0,0,0,0,0,0,0
99,140,1.75,0.3,0,0,0,0,0,0,0,0,0,0,0
99,140,1.75,0.35,0,0,0,0,0,0,0,0,0,0,0
99,140,1.75,0.4,0,0,0,0,0,0,0,0,0,0,0
99,140,1.75,0.45,0,0,0,0,0,0,0,0,0,0,0
99,140,1.75,0.5,0,0,0,0,0,0,0,0,0,0,0
99,140,1.75,0.55,0,0,0,0,0,0,0,0,0,0,0
